name,hint1,hint2
Pedro Almodóvar,He spent over a decade working for national telephone company to finance his early underground super8 short films.,"An iconic Oscar-winning Spanish film director celebrated for colorful, melodramatic masterpieces like All About My Mother and Talk to Her."
Michael Jordan,An elite competitor whose athletic silhouette inspired one of the most profitable shoe and apparel brands in history.,A six-time NBA champion with the Chicago Bulls during the 1990s widely acclaimed as the greatest basketball player of all time.
Taika Waititi,A New Zealand actor and filmmaker who co-directed the acclaimed vampire mockumentary What We Do in the Shadows.,An Oscar-winning writer-director who revitalized Marvel's franchise with Thor: Ragnarok and wrote Jojo Rabbit.
John Oliver,A comedian who started as a senior correspondent on The before founding his own investigative comedy show.,"The multi-Emmy-winning host of HBO's Last Week Tonight, known for comedic, deep-dive journalistic rants on systemic issues."
Malcolm Gladwell,A distinctively hairstyled nonfiction writer and host of the podcast who popularized social science concepts.,"A Canadian journalist and author who wrote global bestsellers including The Tipping Point, Blink, and Outliers."
Cristiano Ronaldo,"A global sports superstar known for his intense fitness regimen, immense social media following, and iconic midair jumping celebration.","A five-time Ballon d'Or-winning Portuguese forward who starred for Manchester United, Real Madrid, and Juventus."
Kenan Thompson,A comic actor who starred in 1990s youth hits like & and the movie.,"The longest-tenured cast member in Saturday Night Live history, having joined Studio 8H in 2003."
Klaus Mäkelä,A cellist turned orchestral leader who rose to world renown while still in his twenties.,A Finnish classical music prodigy named chief conductor of top European groups and music director designated for the Royal Concertgebouw and Chicago Symphony.
David Chang,A outspoken chef and podcaster whose initial small pork bun and noodle stand sparked a global culinary brand.,The Korean-American founder of the Momofuku restaurant group and host of Netflix's Ugly Delicious.
Rory McIlroy,A prodigiously talented golfer who captured four major championships before reaching the age of 26.,A former World No. 1 golfer from Northern Ireland famous for his powerful swing and multiple PGA Tour victories.
Neil Gaiman,"A journalist turned celebrated darkfantasy writer whose work spans groundbreaking graphic novels, short stories, and adaptations.","The British author behind The Sandman comic series as well as acclaimed fantasy novels like American Gods, Coraline, and Stardust."
Novak Djokovic,"A tennis star renowned for extraordinary court coverage, flexibility, and spending the most weeks ranked 1.",The Serbian champion who holds the all-time record for the most men's singles Grand Slam titles in tennis history.
Bong Joon-ho,A filmmaker known for seamlessly shifting genres and tackling social inequality in films like of.,The director whose dark satire Parasite became the first non-English-language film to win Best Picture at the Academy Awards.
Jeff Probst,A four-time Emmy-winning television host known for his signature blue cargo shirts and outdoor reality competition commentary.,The long-time host and executive producer of Survivor who delivers iconic catchphrases like 'The tribe has spoken.'.
John Legend,A soulful piano balladeer and former management consultant who became one of the youngest artists to sweep all four major entertainment awards.,An EGOT-winning singer-songwriter behind romantic hit singles like 'All of Me' and a coach on The Voice.
Justin Trudeau,"A former high school drama,, and math teacher in who transitioned into national public leadership.",The son of a former leader who took charge of the Liberal Party and became Prime Minister of Canada in 2015.
Linus Torvalds,"A Finnish-born software developer whose college hobby project became the foundational operating system backbone for servers, supercomputers, and mobile devices worldwide.",The open-source pioneer who created the Linux kernel and designed the Git version control system.
Simu Liu,"A former corporate accountant who made a career pivot into acting after being laid off, starting in commercials and sitcoms.",The Canadian actor who starred in the sitcom Kim's Convenience before portraying Shang-Chi in the Marvel Cinematic Universe.
Emmanuel Macron,A former investment banker and civil servant who bypassed traditional political parties by forming his own centrist movement.,"He was elected President of France in 2017 at age 39, becoming the youngest head of state in modern French history."
Andy Serkis,A British actor widely regarded as a pioneer in digital body tracking technology and CGI-assisted character acting.,The actor who brought motion-capture characters to life including Gollum in The Lord of the Rings and Caesar in Planet of the Apes.
Kazuo Ishiguro,"A Japanese-born British writer known for quietly emotional prose exploring memory, self-deception, and loss of time.",The Nobel Prize-winning author behind acclaimed literary novels including The Remains of the Day and Never Let Me Go.
Snoop Dogg,"A smoothtalking rap icon from who evolved into an unlikely television host, youth football coach, and correspondent.",The West Coast G-funk rapper famous for his Dr. Dre collaborations and hits like 'Gin and Juice' and 'Drop It Like It's Hot'.
Daniel Kaluuya,A British actor and writer who got his start on UK television series like Skins and an early episode of Black Mirror.,"An Oscar-winning actor celebrated for his roles in Jordan Peele's Get Out and Nope, as well as Judas and the Black Messiah."
Seth MacFarlane,A multitalented animator and trained jazz singer who voices multiple core characters across his own animated television empire.,"The creator of Family Guy, American Dad!, and the live-action sci-fi series The Orville."
Eliud Kipchoge,A long-distance runner whose philosophy 'no human is limited' drove him to push the physical boundaries of distance racing.,The two-time Kenyan Olympic marathon champion who famously ran 26.2 miles in 1:59:40 during an unofficial trial in Vienna.
Oscar Isaac,An actor who played lead guitar and sang in a Miami ska-punk band called The Blinking Underdogs early in his career.,"He portrayed Resistance pilot Poe Dameron in Star Wars, Duke Leto Atreides in Dune, and the titular hero in Marvel's Moon Knight."
John Green,An author and online video creator who cofounded the channel and the educational video series.,"The bestselling young adult writer who wrote Looking for Alaska, Paper Towns, and The Fault in Our Stars."
Usher,A smoothdancing performer who achieved teen stardom in the 1990s and later helped discover.,The multi-Grammy-winning R&B superstar behind hit albums like Confessions and smash singles like 'Yeah!' and 'U Got It Bad'.
Hideo Kojima,"A cinematic video game auteur known for complex, fourthwallbreaking narratives and unusually lengthy story cutscenes.",The legendary Japanese game creator responsible for the Metal Gear franchise and the apocalyptic courier game Death Stranding.
Rami Malek,"An actor who wore custom prosthetic teeth to play a rock legend on screen, later having those teeth cast in solid gold as a keepsake.",He won the Best Actor Oscar for playing Queen frontman Freddie Mercury in Bohemian Rhapsody and starred in Mr. Robot.
Sacha Baron Cohen,A daring character comedian known for conducting unscripted interviews in heavy makeup with unsuspecting public figures.,"The satirical mastermind behind iconic comedic alter-egos Ali G, Bruno, and Kazakh journalist Borat Sagdiyev."
Shaquille O'Neal,A physically dominant center and pop culture personality who later earned an doctorate and tours as an electronic music.,"A four-time NBA champion center who starred for the Magic, Lakers, and Heat before becoming an analyst on Inside the NBA."
Alphonso Davies,A lightningfast soccer player born in a refugee camp in who immigrated to and broke into professional at age 15.,The Canadian star fullback who won the UEFA Champions League with Bayern Munich and led Canada back to the World Cup.
Yuval Noah Harari,"An university professor and meditator who synthesizes history, biology, and macroeconomics to examine humanity's past and future.",The public intellectual and author who wrote the international non-fiction bestsellers Sapiens: A Brief History of Humankind and Homo Deus.
Trevor Royle,A prominent print journalist and defense correspondent who authored numerous authoritative works on military conflict.,"A British military historian known for his books detailing the English Civil War, the Crimean War, and Scottish military history."
Donald Glover,"A multihyphenate creative who wrote for 30 in college, starred in and created the critically acclaimed series.","The actor and filmmaker who also performs under the musical stage name Childish Gambino, releasing the hit 'This Is America'."
Satya Nadella,An Indian-born technology leader who spent over two decades climbing the corporate ranks within a legacy software corporation.,The Chief Executive Officer of Microsoft who succeeded Steve Ballmer in 2014 and spearheaded its cloud and AI transformation.
Steven Spielberg,A director who was famously rejected from film school three times before changing cinema history forever.,"The Oscar-winning director behind iconic blockbusters like Jaws, E.T., Jurassic Park, and Schindler's List."
Patrick Mahomes,"A former draft pick who chose football instead, becoming famous for his acrobatic nolook passes and sidearm throws.",The star Kansas City Chiefs quarterback and multi-time Super Bowl MVP.
George Clooney,A suave actor and director who cofounded a tequila company that eventually sold for nearly a billion dollars.,He broke out on the TV series ER before starring in Ocean's Eleven and winning Oscars for both acting and producing.
David Attenborough,A celebrated naturalist and broadcaster with over twenty species named in his honor.,"The legendary voice and narrator behind iconic BBC natural history series like Planet Earth, The Blue Planet, and Life on Earth."
Shigeru Miyamoto,A visionary game designer whose childhood outdoor explorations near inspired classic video game adventure mechanics.,"The legendary Nintendo executive and designer who created Super Mario Bros., Donkey Kong, and The Legend of Zelda."
Kylian Mbappé,A explosive forward who became the second teenager after to score in.,"The French soccer prodigy and World Cup winner known for his terrifying pace, PSG stardom, and Real Madrid move."
Stephen Fry,A witty intellectual and performer who narrated all seven audiobooks for a famous wizarding series.,"The acclaimed English actor, author, and comedian who hosted the long-running BBC comedy panel show QI."
Conan O'Brien,A former writer for Saturday Night Live and The Simpsons who penned the classic 'Marge vs. the Monorail' episode.,"The towering, red-headed late-night host behind Late Night, The Tonight Show, and the podcast Conan O'Brien Needs a Friend."
John Williams,The second mostnominated individual in history behind only.,"The legendary film composer behind iconic scores for Star Wars, Jaws, Indiana Jones, Harry Potter, and Jurassic Park."
Dave Chappelle,A stand-up comedy titan who famously walked away from a multimilliondollar deal at the height of his fame.,The Mark Twain Prize winner and comedian behind the influential sketch comedy series Chappelle's Show.
Tite Kubo,A artist who heavily integrates urban street fashion aesthetics into his character character designs.,The manga artist and illustrator best known as the creator of the supernatural action manga Bleach.
John Cho,An actor who made history starring in the screen-life mystery thriller Searching.,He starred as Harold in the Harold & Kumar franchise and played Hikaru Sulu in the rebooted Star Trek film series.
Gabe Newell,A former developer who dropped out of and went on to revolutionize digital software distribution.,"The co-founder and president of Valve Corporation, creators of the Steam platform and the Half-Life series."
Rhaheem Hosseini,An award-winning print journalist recognized for investigative reporting on municipal affairs and community housing issues.,An Afghan-American reporter and editor known for local investigative journalism across Northern California publications.
David Tennant,A Scottish stage and screen actor who decided to pursue acting at age three after watching his favorite sci-fi series.,"He played the Tenth Doctor in Doctor Who, Kilgrave in Jessica Jones, and the demon Crowley in Good Omens."
Hugh Jackman,An Australian performer seamlessly balancing song-and-dance Tony-winning musical theater with comic book action stardom.,The actor famous for playing Wolverine in the X-Men franchise and starring in The Greatest Showman and Les Misérables.
Manny Pacquiao,A combat sports legend turned politician who achieved world titles across eight different weight classes.,The legendary Filipino boxer nicknamed 'PacMan' who served as a Senator of the Philippines.
Christopher Walken,A trained musical dancer turned Oscar-winning actor famous for his distinctive speech rhythm and dance moves in an iconic Fatboy Slim video.,"The eccentric actor who won an Oscar for The Deer Hunter and appeared in Pulp Fiction, Catch Me If You Can, and Dune: Part Two."
Giancarlo Esposito,"An actor who made his Broadway debut at age eight before becoming one of television's most iconic portrayers of cold, calculating villains.","He played drug kingpin Gus Fring in Breaking Bad and Better Call Saul, as well as Moff Gideon in The Mandalorian."
Lewis Capaldi,"A charttopping musician famous for his hilarious, selfdeprecating online persona and brutally honest social media presence.",The Grammy-nominated singer-songwriter behind powerful emotional hit singles like 'Someone You Loved' and 'Before You Go'.
Hiroyuki Sanada,A child actor turned martial arts legend who trained with Sonny Chiba's Japan Action Club before breaking into Hollywood action films.,"He starred in The Last Samurai, John Wick: Chapter 4, and won an Emmy for playing Lord Yoshii Toranaga in ShÅgun."
Brandon Sanderson,A remarkably fast writer who set a record for the most funded campaign in history by raising over $41 million for selfpublished secret novels.,"The epic fantasy author who created the Cosmere universe (Mistborn, The Stormlight Archive) and finished Robert Jordan's The Wheel of Time."
Sebastián Yatra,A pop balladeer who gained international prominence blending romantic lyrics with modern reggaeton beats.,He performed the Oscar-nominated Spanish song 'Dos Oruguitas' from Disney's animated film Encanto.
Ken Jennings,A software engineer turned trivia icon who made television history during a uninterrupted multimonth winning streak in 2004.,The all-time Jeopardy! champion who won 74 consecutive games before eventually becoming the official host of the show.
Kumail Nanjiani,An author and actor who co-wrote the hit romantic comedy The Big Sick based on how he met his real-life wife Emily V. Gordon.,"He starred in HBO's Silicon Valley, wrote The Big Sick, and got super buff to play Kingo in Marvel's Eternals."
Max Verstappen,A racing driver who debuted in at just 17 years old before even holding a valid road driving license.,The dominant Dutch Red Bull Racing driver who won multiple F1 World Drivers' Championships and set a record for consecutive Grand Prix wins.
Gaurav Kapur,A former radio jockey who built a prominent broadcast career hosting live prematch sports commentary and athlete interviews.,A popular Indian sports presenter best known for hosting Extraaa Innings T20 during the Indian Premier League and the web show Breakfast with Champions.
Jon Batiste,A musical prodigy who spent seven years directing the house band for a major latenight talk show.,The multi-Grammy winner who won Album of the Year for We Are and an Academy Award for co-composing the score to Pixar's Soul.
Gareth Southgate,A former international defender who famously suffered a highprofile '96 penalty shootout heartbreak before taking up management.,The England national soccer team manager who guided the Three Lions to the 2018 World Cup semi-finals and back-to-back Euro finals.
Siddharth Roy Kapur,"A corporate executive turned media mogul who headed major studio divisions before launching his own production banner,.","A top Indian film producer behind critical and commercial Hindi blockers like Dangal, Chenna Express, and Barfi!."
Ronan Farrow,A child prodigy who entered college at age 11 and worked in international diplomacy before pivoting to investigative journalism.,The Pulitzer Prize-winning journalist for The New Yorker who exposed allegations against Harvey Weinstein and wrote Catch and Kill.
Park Chan-wook,A philosophy student turned film critic and director renowned for immaculate visual staging and intense psychological thrillers.,"The acclaimed director behind the Vengeance Trilogy (including Oldboy), The Handmaiden, and Decision to Leave."
Manny Machado,A highly touted firstround draft choice from who established himself as one of the premier hotcorner defenders of his era.,A multi-time All-Star third baseman and Gold Glove winner who played for the Orioles and Dodgers before signing with the San Diego Padres.
Neil deGrasse Tyson,An astrophysicist and former competitive ballroom dancer who became one of most recognizable public science advocates.,"The director of the Hayden Planetarium, host of the StarTalk podcast, and presenter of Cosmos: A Spacetime Odyssey."
Gabe Kaplan,A 1970s stand-up comedian and sitcom lead who pivoted to competing in highstakes card tournaments around the world.,"He played the title role of high school teacher Gabe Kotter in Welcome Back, Kotter and co-hosted High Stakes Poker."
Hasan Minhaj,A stand-up comedian who rose to prominence as a senior correspondent on The and hosted the 2017.,The Indian-American comic who created and hosted the Emmy-winning Netflix political satire show Patriot Act with Hasan Minhaj.
Yannick Nézet-Séguin,A dynamic maestro known for his expressive podium style and prominent leadership across classical institutions.,The Grammy-winning Music Director of both The Philadelphia Orchestra and the Metropolitan Opera in New York.
Dave Bayley,A former medical student in who abandoned medicine to form a charttopping psychedelic indie pop band.,"The lead vocalist, songwriter, and producer of Glass Animals who wrote the record-breaking global hit 'Heat Waves'."
Manny Jacinto,A civil engineering graduate from who made a complete career pivot into acting.,He played Jason Mendoza in The Good Place and the villainous Stranger in the Star Wars series The Acolyte.
Burna Boy,A global music megastar who became the first artist to sell out stadium shows in both the and.,The Grammy-winning Nigerian Afrobeats artist behind global hit tracks like 'Last Last' and the album African Giant.
Son Heung-min,The first player to claim the as top goalscorer in the top flight.,The South Korean star forward who serves as club captain for English Premier League side Tottenham Hotspur.
Ta-Nehisi Coates,A national journalist and author who has written major comic book runs for 's.,The National Book Award-winning author of Between the World and Me and a former correspondent for The Atlantic.
Luka Dončić,A prodigy who won the title at age 19 before making a seamless transition to sports stardom.,"The Slovenian NBA superstar guard famous for his elite court vision, triple-doubles, and signature step-back jumper."
Sebastian Maniscalco,A stand-up comic who worked for years as a hotel waiter while sharpening his physical arenaselling comedy routine.,"An Italian-American comedian famous for his high-energy, expressive stand-up specials and roles in The Irishman and About My Father."
Nigo,A Japanese fashion pioneer and hip-hop DJ whose signature camo designs and ape logos transformed global street culture.,The founder of the iconic Japanese streetwear brand A Bathing Ape (BAPE) and Artistic Director of Kenzo.
Jon Favreau,An actor and filmmaker who broke out writing and starring in Swingers before directing major holiday and superhero classics.,"He directed Elf and 2008's Iron Man, launched the MCU, and created the Star Wars series The Mandalorian."
Ted Chiang,A highly selective speculative fiction author who has collected four and four despite publishing under twenty short stories.,The award-winning sci-fi writer whose 1998 novella Story of Your Life was adapted into Denis Villeneuve's film Arrival.
Troye Sivan,An creator who built a massive following and played young before conquering international pop charts.,"The Australian pop star behind hit albums like Blue Neighbourhood and Something to Give Each Other, featuring the smash single 'Rush'."
Gunnar Henderson,A highly decorated young infielder who claimed of the honors by a unanimous vote in 2023.,"The All-Star, power-hitting shortstop for the Baltimore Orioles."
Desus Nice,A former financial magazine writer from who parlayed viral commentary and podcasting into latenight hosting.,The Bronx-born comedian who starred alongside The Kid Mero as one half of Desus & Mero on Viceland and Showtime.
JR,An anonymous street artist who displays massive monochrome portraits in public spaces and on landmark architecture worldwide.,"The French photographer and public artist known for huge paste-up installations, including art at the Louvre and the US-Mexico border wall."
Ncuti Gatwa,A Scottish-Rwandan actor who delivered a breakout television performance in a hit high school comedy series before stepping into British sci-fi history.,He played Eric Effiong in Sex Education and became the Fifteenth Doctor in Doctor Who.
Hozier,An singersongwriter who recorded the vocals for his breakout debut smash single in his parents' attic.,The musician behind the multi-platinum anthem 'Take Me to Church' and the hit single 'Too Sweet'.
Rory Scovel,An inventive stand-up comedian and actor known for unscripted crowd interaction and offthecuff experimental sets.,The stand-up comic who starred in the Netflix special Rory Scovel Tries Stand-Up for the First Time and the Apple TV+ series Physical.
Jack Antonoff,A musician and songwriter who won three consecutive for of.,"The frontman of Bleachers, guitarist for fun., and key producer for Taylor Swift, Lorde, and Lana Del Rey."
İlkay Gündoğan,A midfielder renowned for precise tactical play and clutch goalscoring in championshipdefining matches.,The German international midfielder who captained Manchester City to their historic treble in 2023 before playing for Barcelona.
Viet Thanh Nguyen,A university professor and author whose debut novel exploring double identity won the Pulitzer Prize for Fiction.,The Vietnamese-American writer behind the acclaimed novel The Sympathizer and its sequel The Committed.
Clement Ducasse,A culinary professional who trained in kitchens before championing modern sustainable dining principles.,A contemporary French chef and restaurateur known for combining classic techniques with farm-to-table culinary concepts across Europe.
Hasan Piker,A former broadcast producer whose election night and news commentary streams attracted hundreds of thousands of concurrent viewers.,The popular Turkish-American left-wing political commentator and content creator known online as HasanAbi on Twitch.
Hamza Haq,A Pakistani-Canadian actor who earned critical acclaim and multiple national acting honors for leading a hit medical drama.,He played Syrian refugee and talented doctor Bashir 'Bash' Hamed on the medical drama series Transplant.
Steven Yeun,An actor who began his career doing comedy and improv before landing a breakthrough role escaping walkers in post-apocalyptic Atlanta.,"The first Asian-American Best Actor Oscar nominee for Minari, who also starred in The Walking Dead, Nope, and Beef."
Stormzy,A London-born hip-hop artist who created a university scholarship program for Black UK students attending Cambridge.,The British grime superstar who topped charts with Gang Signs & Prayer and headlined the Glastonbury Festival in 2019.
Lando Norris,"A motorsport driver who built a massive streaming presence and launched his own gaming brand,.","The Formula 1 driver who races for McLaren, earning his maiden Grand Prix victory in Miami."
Ocean Vuong,A Vietnamese-born writer who earned a MacArthur 'Genius' Grant at age 30 for his poetry and prose.,The acclaimed author of the poetry collection Night Sky with Exit Wounds and the novel On Earth We're Briefly Gorgeous.
Paul Mescal,A former football player in who stepped away from sports to pursue stage and screen acting.,"The Irish actor who broke out in Normal People, earned an Oscar nomination for Aftersun, and played Lucius in Gladiator II."
Jensen Huang,A technology executive known for his signature black leather jacket who cofounded his company inside a diner in 1993.,"The Taiwanese-American co-founder and CEO of Nvidia, the semiconductor giant driving the modern AI hardware revolution."
Daveed Diggs,An artist who famously holds the record for the fastest rap performance in Broadway history for his rapid-fire delivery in Hamilton.,The Tony and Grammy-winning actor who originated the dual roles of Marquis de Lafayette and Thomas Jefferson in Hamilton.
Cesar Azpilicueta,A versatile Spanish defender affectionately nicknamed 'Dave' by English fans due to his difficult-to-pronounce surname.,"The long-time Chelsea FC captain who led the club to victory in the UEFA Champions League, Europa League, and Premier League."
Marlon James,A university professor whose vivid historical fiction draws from folklore and political history.,"The Booker Prize-winning author of A Brief History of Seven Killings (centered on the Bob Marley shooting) and Black Leopard, Red Wolf."
Victor Wembanyama,A athletic wonder with an 8foot wingspan capable of blocking shots and shooting threepointers with ease.,The 7-foot-4 San Antonio Spurs center nicknamed 'Wemby' who won the 2024 NBA Rookie of the Year.
Edgar Wright,A filmmaker celebrated for cutting action sequences and comedic transitions to match the precise tempo of his soundtracks.,"The director behind the Three Flavours Cornetto trilogy (Shaun of the Dead, Hot Fuzz, The World's End), Scott Pilgrim, and Baby Driver."
Joe Duplantier,"A musician whose heavy metal compositions frequently focus on environmental conservation, marine life, and global climate issues.",The lead vocalist and rhythm guitarist for the Grammy-nominated French metal band Gojira.
Bowen Yang,A comedian and writer who cohosts the pop-culture podcast alongside.,The Emmy-nominated Saturday Night Live cast member famous for playing characters like the Iceberg That Sank the Titanic.
Finneas O'Connell,A musician and former actor on who produced recordbreaking pop albums out of a home bedroom studio.,The multi-Grammy and Oscar-winning songwriter and producer who collaborates closely with his sister Billie Eilish.
Siddharth Anand,An director who started in romantic comedies before pivoting to helm some of highestbudget action spectacles.,"The filmmaker behind massive Hindi box-office hits including War, Pathaan, and Fighter."
Keir Starmer,A human rights lawyer knighted for his service as of in.,The leader of the Labour Party who became Prime Minister of the United Kingdom in July 2024.
S. S. Rajamouli,A visionary filmmaker whose largerthanlife period epics generated massive worldwide crossover success.,The director behind the Baahubali franchise and the global phenomenon RRR.
Mo Amer,"A stand-up comic who fled during the relocating to,, where he honed his comedy.",The Palestinian-American comedian who created and starred in the award-winning Netflix comedy series Mo and appeared in Ramy.
Daniel Ricciardo,"An driver known for his charismatic smile, aggressive overtakes, and celebrating podium wins by drinking champagne from his shoe.","The eight-time Formula 1 Grand Prix winner nicknamed the 'Honey Badger' who raced for Red Bull, Renault, and McLaren."
Paddy Considine,A British actor and filmmaker who played indie drama roles and drummed in a rock band before taking the crown in a fantasy prequel.,He delivered a critically acclaimed performance as King Viserys I Targaryen in HBO's House of the Dragon.
Arón Piper,A Spanish-German actor born in Berlin who expanded into releasing urban trap and hip-hop music alongside his acting career.,He achieved global fame playing Ander Muñoz in the hit Netflix Spanish teen drama series Élite.
Steve Carell,A former mail carrier who joined an improv troupe before breaking out on television and film.,"He played Michael Scott in The Office, starred in The 40-Year-Old Virgin, and earned an Oscar nomination for Foxcatcher."
Will Smith,A Grammy-winning Philadelphia hip-hop artist known as The Fresh Prince before becoming a top-grossing movie star.,"The actor who starred in The Fresh Prince of Bel-Air, Men in Black, and Independence Day, winning an Oscar for King Richard."
Jason Kelce,An center who famously wore a costume and gave an iconic speech during the championship parade.,The long-time Philadelphia Eagles center who co-hosts the hugely popular New Heights podcast with his brother Travis.
Jimmy Fallon,A comedian who joined at age 23 after impressing producers with an impression.,The former SNL Weekend Update co-anchor who took over as host of NBC's The Tonight Show.
Michael B. Jordan,An actor who earned early acclaim playing Wallace on The Wire before transitioning into a major leading man and director.,He played Adonis Creed in the Creed series and villian Erik Killmonger in Marvel's Black Panther.
